code_ies,name_ies,initials,county,state,academic_organization,category,url
17498,FACULDADE DE SAÚDE SANTO AGOSTINHO DE VITÓRIA DA CONQUISTA (FASA),FASA,Vitória da Conquista,BA,Faculdade,Privada,https://vic.fasa.edu.br/
20606,Faculdade de Tecnologia e Ciências (FTC Juazeiro),FTC Juazeiro,Juazeiro,BA,Faculdade,Privada,http://www.ftc.br/juazeiro/home/
12922,FACULDADE DE TECNOLOGIA E CIÊNCIAS DA BAHIA (FATEC/BA),FATEC/BA,Alagoinhas,BA,Faculdade,Privada,www.fatecba.edu.br
1642,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA (FTC),FTC,Itabuna,BA,Faculdade,Privada,www.ftc.br
1645,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ (FTC),FTC,Jequié,BA,Faculdade,Privada,www.ftc.br
2402,Faculdade de Tecnologia e Ciências de Salvador (FTC Salvador),FTC Salvador,Salvador,BA,Faculdade,Privada,http://portal.ftc.br/campuscomercio/
22787,FACULDADE DE TECNOLOGIA E CIÊNCIAS - FTC CAMAÇARI (FTC CAMAÇARI),FTC CAMAÇARI,Camaçari,BA,Faculdade,Privada,www.ftc.edu.br
1411,FACULDADE DOIS DE JULHO (F2J),F2J,Salvador,BA,Faculdade,Privada,f2j.edu.br/
3669,FACULDADE DOM LUIS DE ORLEANS E BRAGANÇA (FDL),FDL,Ribeira do Pombal,BA,Faculdade,Privada,www.unidom.com.br
4460,FACULDADE DOM PEDRO II DE TECNOLOGIA (FDP II Tec),FDP II Tec,Salvador,BA,Faculdade,Privada,www.unidom.com.br
20122,FACULDADE DOMUS SAPIENS (FDS),FDS,Juazeiro,BA,Faculdade,Privada,http://www.fds.edu.br/
14975,FACULDADE DO NORDESTE DA BAHIA (FANEB),FANEB,Coronel João Sá,BA,Faculdade,Privada,www.faneb.com.br
11951,FACULDADE DO SERTÃO BAIANO (FASBE),FASBE,Monte Santo,BA,Faculdade,Privada,www.fasbms.com.br
1790,FACULDADE DO SUL DA BAHIA (FASB),FASB,Teixeira de Freitas,BA,Faculdade,Privada,www.ffassis.edu.br
21978,Faculdade Edufor de Salvador (EDUFOR),EDUFOR,Salvador,BA,Faculdade,Privada,https://fatecba.edu.br/salvador/
2500,FACULDADE EINSTEIN,-,Salvador,BA,Faculdade,Privada,www.facei.edu.br
17876,FACULDADE ESPÍRITO SANTO (FAES),FAES,Eunápolis,BA,Faculdade,Privada,http://www.faes.edu.br/
22076,Faculdade Estácio de Alagoinhas,-,Alagoinhas,BA,Faculdade,Privada,www.estacio.br
13783,FACULDADE ESTÁCIO DE FEIRA DE SANTANA (ESTÁCIO FEIRA DE SAN),ESTÁCIO FEIRA DE SAN,Feira de Santana,BA,Faculdade,Privada,http://portal.estacio.br/
2163,FACULDADE EUGÊNIO GOMES (FEG),FEG,Ipirá,BA,Faculdade,Privada,www.faculdadeeugeniogomes.com.br
1639,FACULDADE HÉLIO ROCHA (FHR),FHR,Salvador,BA,Faculdade,Privada,www.heliorocha.com.br
1758,FACULDADE INDEPENDENTE DO NORDESTE (FAINOR),FAINOR,Vitória da Conquista,BA,Faculdade,Privada,www.fainor.com.br
15504,FACULDADE IRECÊ (FAI),FAI,Irecê,BA,Faculdade,Privada,www.faifaculdade.com.br
3230,FACULDADE LUIZ EDUARDO MAGALHÃES (FILEM),FILEM,Luís Eduardo Magalhães,BA,Faculdade,Privada,http://www.filem.edu.br
2427,FACULDADE LUSÓFONA DA BAHIA (FL-BA),FL-BA,Salvador,BA,Faculdade,Privada,https://faculdadelusofona.com.br
3268,FACULDADE MADRE THAIS (FMT),FMT,Ilhéus,BA,Faculdade,Privada,www.faculdademadrethais.com.br
19343,FACULDADE MAURÍCIO DE NASSAU DE ITABUNA (FMN DE ITABUNA),FMN DE ITABUNA,Itabuna,BA,Faculdade,Privada,www.mauriciodenassau.edu.br
3377,FACULDADE MONTESSORIANO DE SALVADOR (FAMA),FAMA,Salvador,BA,Faculdade,Privada,www.montessoriano.com.br/faculdade
